,ID_ESCUELA,NOMBRE_ESCUELA
0,1120,PAPANTECA
1,1121,COBACH12
2,1122,PAPANTECA
3,1123,COLEGIO LA PAZ
4,1124,RODRIGO MONTES DE OCA
5,1125,DR. ISAAC OCHOTERENA
6,1126,COBACH12
7,470,INST. CARLOS PEREYRA DE PUEBLA A.C.
8,421,COLEGIO HISPANO INGLS DE ORIENTE
9,1127,INST. CARLOS PEREYRA
10,1128,COBAG PLANTEL 19
11,1129,INSTITU TECNICO COMERCIAL PALATINO
12,866,CONALEP PLANTEL ZACUALPAN
13,1130,UNIVERSIDAD DEL VALLE DE MEXICO
14,1131,COLEGIO LA PAZ
15,1132,COLEGIO LA PAZ
16,428,COLEGIO LA PAZ A.C.
17,1123,COLEGIO LA PAZ
18,723,PDTE. GUSTAVO DIAZ ORDAZ
19,765,COBAEP PLANTEL 13
20,1133,MARIE CURIE A.C.
21,1134,MARIE CURIE
22,494,INST. ORIENTE DE PUEBLA A.C.
23,428,COLEGIO LA PAZ A.C.
24,1135,RAFAEL MORENO VALLE
25,1136,COBAEG PLANTEL 19
26,1137,INST. ORIENTE
27,1138,UNIVERSIDAD REALISTICA DE MEXICO
28,719,NI¥OS HROES DE CHAPULTEPEC
29,1139,COBAG19 A
30,1140,COLEGIO LA PAZ
31,1141,JORGE BERGANZA
32,571,BENEMRITO INSTITUTO NORMAL DEL ESTADO
33,428,COLEGIO LA PAZ A.C.
34,1142,ESCUELA PREPARATORIA NO. 31
35,914,GRAL. LµZARO CµRDENAS DEL RÖO
36,428,COLEGIO LA PAZ A.C.
37,832,COBAT PLANTEL 01
38,832,COBAT PLANTEL 01
39,504,INST. WASHINGTON A.C.
40,679,CBTIS PLANTEL NO. 241
41,571,BENEMRITO INSTITUTO NORMAL DEL ESTADO
42,571,BENEMRITO INSTITUTO NORMAL DEL ESTADO
43,1143,BINE
44,571,BENEMRITO INSTITUTO NORMAL DEL ESTADO
45,571,BENEMRITO INSTITUTO NORMAL DEL ESTADO
46,857,CONALEP PLANTEL NO. 1
47,413,COLEGIO CULTURAL A.C. PLANTEL 1
48,857,CONALEP PLANTEL NO. 1
49,861,CONALEP PLANTEL NO. 3
50,755,COBAEP PLANTEL 3
51,496,INST. PROF. ENRIQUE CORDERO Y TORRES
52,1144,DAVID ALFARO SIQUEIROS
53,1145,COBAEV
54,755,COBAEP PLANTEL 3
55,1146,INSTITUTO ORIENTE
56,753,COBAEP PLANTEL 1
57,68,BACHILLERATO UPAEP
58,1147,COLEGIO JUANA DE ARCO
59,445,EMPERADOR CUAUHTEMOC
60,504,INST. WASHINGTON A.C.
61,699,CBTIS PLANTEL NO. 61
62,399,CENTRO CULTURAL JALIL GIBRAN
63,804,COBAEM PLANTEL 10
64,1148,COLEGIO JUANA DE ARCO
65,1149,INSTITUTO ORIENTE
66,218,BENITO JUµREZ GARCÖA
67,541,PROFR. ENRIQUE MARTÖNEZ MµRQUEZ
68,767,COBAEP PLANTEL 15
69,757,COBAEP PLANTEL 5
70,841,COBAT PLANTEL 11
71,767,COBAEP PLANTEL 15
72,767,COBAEP PLANTEL 15
73,1014,COLEGIO MARÖA DEL ROSARIO
74,840,COBAT PLANTEL 10
75,698,CBTIS PLANTEL NO. 3
76,487,INST. LA PAZ DE PUEBLA A.C.
77,840,COBAT PLANTEL 10
78,669,CBTIS PLANTEL NO. 76
79,833,COBAT PLANTEL 02
80,1150,LUIS RIOS ALVARADO
81,833,COBAT PLANTEL 02
82,778,COBAEP PLANTEL 26
83,866,CONALEP PLANTEL ZACUALPAN
84,915,LIC. BENITO JUµREZ GARCÖA
85,767,COBAEP PLANTEL 15
86,756,COBAEP PLANTEL 4
87,1151,INTITUTO EUROCENTURY
88,1152,INSTITUTO QUETZALCOATL
89,325,GUILERMO GONZALEZ CAMARENA
90,1153,LICEO UNIVERSIDAD PEDRO DE GANTE
91,470,INST. CARLOS PEREYRA DE PUEBLA A.C.
92,1154,INSTITUTO CARLOS GRACIDA A.C.
93,494,INST. ORIENTE DE PUEBLA A.C.
94,1155,COLEGIO MIGUEL HIDALGO AC.
95,494,INST. ORIENTE DE PUEBLA A.C.
96,710,EMPERADOR CUAUHTEMOC
97,698,CBTIS PLANTEL NO. 3
98,1156,UPAEP
99,753,COBAEP PLANTEL 1
100,474,INST. DE ARTE Y CULTURA
101,773,COBAEP PLANTEL 21
102,565,UPAEP MIXTO SUR
103,773,COBAEP PLANTEL 21
