,ID_MUNICIPIO,NOMBRE_MUNICIPIO,ID_ESTADO
0,1681,PUEBLA,21
1,1848,TAMPACµN,24
2,1681,PUEBLA,21
3,1681,PUEBLA,21
4,1641,HUEJOTZINGO,21
5,2219,SAN ANDRS TUXTLA,30
6,1848,TAMPACµN,24
7,1681,PUEBLA,21
8,1681,PUEBLA,21
9,1681,PUEBLA,21
10,436,XOCHIHUEHUETLµN,12
11,1681,PUEBLA,21
12,1681,PUEBLA,21
13,1686,SAN ANDRS CHOLULA,21
14,1681,PUEBLA,21
15,1681,PUEBLA,21
16,1681,PUEBLA,21
17,1681,PUEBLA,21
18,1681,PUEBLA,21
19,1703,SAN MIGUEL XOXTLA,21
20,1681,PUEBLA,21
21,1,AGUASCALIENTES,1
22,1681,PUEBLA,21
23,1681,PUEBLA,21
24,436,XOCHIHUEHUETLµN,12
25,436,XOCHIHUEHUETLµN,12
26,1681,PUEBLA,21
27,1681,PUEBLA,21
28,1681,PUEBLA,21
29,436,XOCHIHUEHUETLµN,12
30,1681,PUEBLA,21
31,1681,PUEBLA,21
32,1681,PUEBLA,21
33,1681,PUEBLA,21
34,436,XOCHIHUEHUETLµN,12
35,279,CUAUHTMOC,9
36,1681,PUEBLA,21
37,2041,NATÖVITAS,29
38,2028,CHIAUTEMPAN,29
39,1681,PUEBLA,21
40,279,CUAUHTMOC,9
41,1681,PUEBLA,21
42,1681,PUEBLA,21
43,1681,PUEBLA,21
44,1681,PUEBLA,21
45,1681,PUEBLA,21
46,1582,AMOZOC,21
47,1681,PUEBLA,21
48,1681,PUEBLA,21
49,1703,SAN MIGUEL XOXTLA,21
50,1681,PUEBLA,21
51,1681,PUEBLA,21
52,1681,PUEBLA,21
53,2122,CàRDOBA,30
54,1681,PUEBLA,21
55,1681,PUEBLA,21
56,1681,PUEBLA,21
57,1681,PUEBLA,21
58,2031,HUAMANTLA,29
59,1681,PUEBLA,21
60,1681,PUEBLA,21
61,2031,HUAMANTLA,29
62,1681,PUEBLA,21
63,2023,APIZACO,29
64,2031,HUAMANTLA,29
65,1681,PUEBLA,21
66,1681,PUEBLA,21
67,1681,PUEBLA,21
68,1681,PUEBLA,21
69,1699,SAN MARTÖN TEXMELUCAN,21
70,2054,TOTOLAC,29
71,1681,PUEBLA,21
72,1681,PUEBLA,21
73,1681,PUEBLA,21
74,2051,TLAXCALA,29
75,1681,PUEBLA,21
76,1681,PUEBLA,21
77,2023,APIZACO,29
78,899,CUAUTLA,17
79,2031,HUAMANTLA,29
80,899,CUAUTLA,17
81,1661,LIBRES,21
82,1681,PUEBLA,21
83,2040,ACUAMANALA DE MIGUEL HIDALGO,29
84,1681,PUEBLA,21
85,1681,PUEBLA,21
86,1720,TECALI DE HERRERA,21
87,1960,CµRDENAS,27
88,1681,PUEBLA,21
89,1681,PUEBLA,21
90,1681,PUEBLA,21
91,1681,PUEBLA,21
92,1064,OAXACA DE JUµREZ,20
93,1681,PUEBLA,21
94,1681,PUEBLA,21
95,1681,PUEBLA,21
96,1736,TEPEXI DE RODRÖGUEZ,21
97,2051,TLAXCALA,29
98,1681,PUEBLA,21
99,1681,PUEBLA,21
100,1681,PUEBLA,21
101,1681,PUEBLA,21
102,274,µLVARO OBREGàN,9
103,1681,PUEBLA,21
104,1681,PUEBLA,21
105,1681,PUEBLA,21
106,1681,PUEBLA,21
107,1681,PUEBLA,21
108,1681,PUEBLA,21
109,1681,PUEBLA,21
110,2062,ZACATELCO,29
111,1681,PUEBLA,21
112,2051,TLAXCALA,29
113,1681,PUEBLA,21
114,2271,VERACRUZ,30
115,1681,PUEBLA,21
116,1681,PUEBLA,21
117,1681,PUEBLA,21
118,1681,PUEBLA,21
119,271,IZTAPALAPA,9
120,1681,PUEBLA,21
121,1681,PUEBLA,21
122,2032,HUEYOTLIPAN,29
123,1681,PUEBLA,21
124,1684,RAFAEL LARA GRAJALES,21
125,2046,TEOLOCHOLCO,29
126,1681,PUEBLA,21
127,1681,PUEBLA,21
128,1681,PUEBLA,21
129,1681,PUEBLA,21
130,1681,PUEBLA,21
131,1681,PUEBLA,21
132,2043,SAN PABLO DEL MONTE,29
133,1681,PUEBLA,21
134,1681,PUEBLA,21
135,1681,PUEBLA,21
136,1681,PUEBLA,21
137,1681,PUEBLA,21
138,1681,PUEBLA,21
139,1681,PUEBLA,21
140,1681,PUEBLA,21
141,1681,PUEBLA,21
142,1681,PUEBLA,21
143,1681,PUEBLA,21
144,1681,PUEBLA,21
145,1681,PUEBLA,21
146,1681,PUEBLA,21
147,1681,PUEBLA,21
148,1681,PUEBLA,21
149,1681,PUEBLA,21
150,1681,PUEBLA,21
151,1681,PUEBLA,21
152,1681,PUEBLA,21
153,1681,PUEBLA,21
154,1681,PUEBLA,21
155,2060,XICOHTZINCO,29
156,1681,PUEBLA,21
157,1699,SAN MARTÖN TEXMELUCAN,21
158,1681,PUEBLA,21
159,1681,PUEBLA,21
160,1681,PUEBLA,21
161,1681,PUEBLA,21
162,1681,PUEBLA,21
163,1741,TEZIUTLµN,21
164,1681,PUEBLA,21
165,1681,PUEBLA,21
166,1681,PUEBLA,21
167,1681,PUEBLA,21
168,50,MONCLOVA,5
169,1681,PUEBLA,21
170,1681,PUEBLA,21
171,1681,PUEBLA,21
172,1681,PUEBLA,21
173,1681,PUEBLA,21
174,1681,PUEBLA,21
175,269,GUSTAVO A. MADERO,9
176,1681,PUEBLA,21
177,1681,PUEBLA,21
178,1681,PUEBLA,21
179,1681,PUEBLA,21
180,278,BENITO JUµREZ,9
181,1681,PUEBLA,21
182,395,CHILPANCINGO DE LOS BRAVO,12
183,1681,PUEBLA,21
184,1681,PUEBLA,21
185,2031,HUAMANTLA,29
186,1681,PUEBLA,21
187,1681,PUEBLA,21
188,1681,PUEBLA,21
189,1681,PUEBLA,21
190,1681,PUEBLA,21
191,1681,PUEBLA,21
192,1681,PUEBLA,21
193,1681,PUEBLA,21
194,1681,PUEBLA,21
195,1681,PUEBLA,21
196,1681,PUEBLA,21
197,1681,PUEBLA,21
198,1681,PUEBLA,21
199,1681,PUEBLA,21
200,1731,TEPEACA,21
201,1681,PUEBLA,21
202,1681,PUEBLA,21
203,1681,PUEBLA,21
204,1681,PUEBLA,21
205,2285,TRES VALLES,30
206,2041,NATÖVITAS,29
207,1681,PUEBLA,21
208,1681,PUEBLA,21
209,1586,ATLIXCO,21
210,404,JOS AZUETA,12
211,1681,PUEBLA,21
212,1681,PUEBLA,21
213,2028,CHIAUTEMPAN,29
214,1681,PUEBLA,21
215,266,AZCAPOTZALCO,9
216,2036,CONTLA DE JUAN CUAMATZI,29
217,900,CUERNAVACA,17
218,1681,PUEBLA,21
219,1681,PUEBLA,21
220,1681,PUEBLA,21
221,1681,PUEBLA,21
222,1681,PUEBLA,21
223,1681,PUEBLA,21
224,1681,PUEBLA,21
225,1681,PUEBLA,21
226,1681,PUEBLA,21
227,1681,PUEBLA,21
228,1681,PUEBLA,21
229,1681,PUEBLA,21
230,1681,PUEBLA,21
231,1681,PUEBLA,21
232,1681,PUEBLA,21
233,1681,PUEBLA,21
