,ID_SALON,NOMBRE_SALON,CAPACIDAD,ID_SEDE,ACTIVO,USUARIO,PASSWORD
0,100,39A,41,18,0,,
1,100,39A,41,18,0,,
2,100,39A,41,18,0,,
3,195,22D,50,21,0,,
4,154,2C,53,20,0,,
5,102,40C,42,18,0,,
6,100,39A,41,18,0,,
7,230,66C,50,22,0,,
8,152,1A,51,20,0,,
9,230,66C,50,22,0,,
10,152,1A,51,20,0,,
11,154,2C,53,20,0,,
12,100,39A,41,18,0,,
13,154,2C,53,20,0,,
14,128,53A,51,19,0,,
15,128,53A,51,19,0,,
16,128,53A,51,19,0,,
17,128,53A,51,19,0,,
18,152,1A,51,20,0,,
19,102,40C,42,18,0,,
20,231,66D,51,22,0,,
21,231,66D,51,22,0,,
22,152,1A,51,20,0,,
23,128,53A,51,19,0,,
24,152,1A,51,20,0,,
25,152,1A,51,20,0,,
26,228,65A,51,22,0,,
27,228,65A,51,22,0,,
28,192,21A,51,21,0,,
29,152,1A,51,20,0,,
30,128,53A,51,19,0,,
31,100,39A,41,18,0,,
32,128,53A,51,19,0,,
33,128,53A,51,19,0,,
34,152,1A,51,20,0,,
35,102,40C,42,18,0,,
36,130,54C,52,19,0,,
37,101,39B,41,18,0,,
38,101,39B,41,18,0,,
39,192,21A,51,21,0,,
40,154,2C,53,20,0,,
41,128,53A,51,19,0,,
42,128,53A,51,19,0,,
43,128,53A,51,19,0,,
44,128,53A,51,19,0,,
45,128,53A,51,19,0,,
46,192,21A,51,21,0,,
47,130,54C,52,19,0,,
48,192,21A,51,21,0,,
49,152,1A,51,20,0,,
50,128,53A,51,19,0,,
51,155,2D,51,20,0,,
52,231,66D,51,22,0,,
53,194,22C,50,21,0,,
54,128,53A,51,19,0,,
55,152,1A,51,20,0,,
56,152,1A,51,20,0,,
57,102,40C,42,18,0,,
58,153,1B,50,20,0,,
59,193,21B,50,21,0,,
60,103,40D,41,18,0,,
61,102,40C,42,18,0,,
62,228,65A,51,22,0,,
63,154,2C,53,20,0,,
64,153,1B,50,20,0,,
65,154,2C,53,20,0,,
66,154,2C,53,20,0,,
67,193,21B,50,21,0,,
68,192,21A,51,21,0,,
69,154,2C,53,20,0,,
70,101,39B,41,18,0,,
71,192,21A,51,21,0,,
72,192,21A,51,21,0,,
73,192,21A,51,21,0,,
74,154,2C,53,20,0,,
75,102,40C,42,18,0,,
76,128,53A,51,19,0,,
77,194,22C,50,21,0,,
78,102,40C,42,18,0,,
79,194,22C,50,21,0,,
80,102,40C,42,18,0,,
81,194,22C,50,21,0,,
82,102,40C,42,18,0,,
83,103,40D,41,18,0,,
84,230,66C,50,22,0,,
85,102,40C,42,18,0,,
86,154,2C,53,20,0,,
87,192,21A,51,21,0,,
88,100,39A,41,18,0,,
89,128,53A,51,19,0,,
90,152,1A,51,20,0,,
91,102,40C,42,18,0,,
92,102,40C,42,18,0,,
93,154,2C,53,20,0,,
94,152,1A,51,20,0,,
95,154,2C,53,20,0,,
96,153,1B,50,20,0,,
97,102,40C,42,18,0,,
98,100,39A,41,18,0,,
99,229,65B,50,22,0,,
100,152,1A,51,20,0,,
101,154,2C,53,20,0,,
102,100,39A,41,18,0,,
103,154,2C,53,20,0,,
104,194,22C,50,21,0,,
105,194,22C,50,21,0,,
106,100,39A,41,18,0,,
107,102,40C,42,18,0,,
108,103,40D,41,18,0,,
109,102,40C,42,18,0,,
110,192,21A,51,21,0,,
111,155,2D,51,20,0,,
112,101,39B,41,18,0,,
113,100,39A,41,18,0,,
114,100,39A,41,18,0,,
115,193,21B,50,21,0,,
116,103,40D,41,18,0,,
117,193,21B,50,21,0,,
118,192,21A,51,21,0,,
