,ID_SEDE,NOMBRE_SEDE,DIRECCION
0,18,FACULTAD DE MEDICINA,"13 Sur No. 2702 Col. Volcanes. Puebla, Pue."
1,18,FACULTAD DE MEDICINA,"13 Sur No. 2702 Col. Volcanes. Puebla, Pue."
2,18,FACULTAD DE MEDICINA,"13 Sur No. 2702 Col. Volcanes. Puebla, Pue."
3,21,CENHCH,"10 Sur No. 1501 Col. Bella Vista. Puebla, Pue."
4,20,FACULTAD DE CONTADURIA,"Blvd. Valsequillo No. 70 Col. Universidades. Puebla, Pue."
5,18,FACULTAD DE MEDICINA,"13 Sur No. 2702 Col. Volcanes. Puebla, Pue."
6,18,FACULTAD DE MEDICINA,"13 Sur No. 2702 Col. Volcanes. Puebla, Pue."
7,22,PEREYRA,"Esquina Blvd. 5 de Mayo y 2 Sur Col San Baltazar Campeche. Puebla, Pue."
8,20,FACULTAD DE CONTADURIA,"Blvd. Valsequillo No. 70 Col. Universidades. Puebla, Pue."
9,22,PEREYRA,"Esquina Blvd. 5 de Mayo y 2 Sur Col San Baltazar Campeche. Puebla, Pue."
10,20,FACULTAD DE CONTADURIA,"Blvd. Valsequillo No. 70 Col. Universidades. Puebla, Pue."
11,20,FACULTAD DE CONTADURIA,"Blvd. Valsequillo No. 70 Col. Universidades. Puebla, Pue."
12,18,FACULTAD DE MEDICINA,"13 Sur No. 2702 Col. Volcanes. Puebla, Pue."
13,20,FACULTAD DE CONTADURIA,"Blvd. Valsequillo No. 70 Col. Universidades. Puebla, Pue."
14,19,BINE,"Blvd. Hermanos Serd n No. 203 Col. Valle del Rey. Puebla, Pue."
15,19,BINE,"Blvd. Hermanos Serd n No. 203 Col. Valle del Rey. Puebla, Pue."
16,19,BINE,"Blvd. Hermanos Serd n No. 203 Col. Valle del Rey. Puebla, Pue."
17,19,BINE,"Blvd. Hermanos Serd n No. 203 Col. Valle del Rey. Puebla, Pue."
18,20,FACULTAD DE CONTADURIA,"Blvd. Valsequillo No. 70 Col. Universidades. Puebla, Pue."
19,18,FACULTAD DE MEDICINA,"13 Sur No. 2702 Col. Volcanes. Puebla, Pue."
20,22,PEREYRA,"Esquina Blvd. 5 de Mayo y 2 Sur Col San Baltazar Campeche. Puebla, Pue."
21,22,PEREYRA,"Esquina Blvd. 5 de Mayo y 2 Sur Col San Baltazar Campeche. Puebla, Pue."
22,20,FACULTAD DE CONTADURIA,"Blvd. Valsequillo No. 70 Col. Universidades. Puebla, Pue."
23,19,BINE,"Blvd. Hermanos Serd n No. 203 Col. Valle del Rey. Puebla, Pue."
24,20,FACULTAD DE CONTADURIA,"Blvd. Valsequillo No. 70 Col. Universidades. Puebla, Pue."
25,20,FACULTAD DE CONTADURIA,"Blvd. Valsequillo No. 70 Col. Universidades. Puebla, Pue."
26,22,PEREYRA,"Esquina Blvd. 5 de Mayo y 2 Sur Col San Baltazar Campeche. Puebla, Pue."
27,22,PEREYRA,"Esquina Blvd. 5 de Mayo y 2 Sur Col San Baltazar Campeche. Puebla, Pue."
28,21,CENHCH,"10 Sur No. 1501 Col. Bella Vista. Puebla, Pue."
29,20,FACULTAD DE CONTADURIA,"Blvd. Valsequillo No. 70 Col. Universidades. Puebla, Pue."
30,19,BINE,"Blvd. Hermanos Serd n No. 203 Col. Valle del Rey. Puebla, Pue."
31,18,FACULTAD DE MEDICINA,"13 Sur No. 2702 Col. Volcanes. Puebla, Pue."
32,19,BINE,"Blvd. Hermanos Serd n No. 203 Col. Valle del Rey. Puebla, Pue."
33,19,BINE,"Blvd. Hermanos Serd n No. 203 Col. Valle del Rey. Puebla, Pue."
34,20,FACULTAD DE CONTADURIA,"Blvd. Valsequillo No. 70 Col. Universidades. Puebla, Pue."
35,18,FACULTAD DE MEDICINA,"13 Sur No. 2702 Col. Volcanes. Puebla, Pue."
36,19,BINE,"Blvd. Hermanos Serd n No. 203 Col. Valle del Rey. Puebla, Pue."
37,18,FACULTAD DE MEDICINA,"13 Sur No. 2702 Col. Volcanes. Puebla, Pue."
38,18,FACULTAD DE MEDICINA,"13 Sur No. 2702 Col. Volcanes. Puebla, Pue."
39,21,CENHCH,"10 Sur No. 1501 Col. Bella Vista. Puebla, Pue."
40,20,FACULTAD DE CONTADURIA,"Blvd. Valsequillo No. 70 Col. Universidades. Puebla, Pue."
41,19,BINE,"Blvd. Hermanos Serd n No. 203 Col. Valle del Rey. Puebla, Pue."
42,19,BINE,"Blvd. Hermanos Serd n No. 203 Col. Valle del Rey. Puebla, Pue."
43,19,BINE,"Blvd. Hermanos Serd n No. 203 Col. Valle del Rey. Puebla, Pue."
