,PROMEDIO,ID_CARRERA,ID_ESCUELA
0,7.5,68,1120
1,8.9,68,1121
2,8.7,68,1122
3,7.97,67,1123
4,7.4,22,1124
5,9.0,68,1125
6,8.4,68,1126
7,9.5,68,470
8,7.45,27,421
9,8.4,6,1127
10,8.0,23,1128
11,9.0,75,1129
12,8.7,68,866
13,9.5,77,1130
14,9.0,33,1131
15,9.1,13,1132
16,8.7,10,428
17,8.04,27,1123
18,9.0,24,723
19,8.0,68,765
20,8.0,75,1133
21,9.0,68,1134
22,9.2,75,494
23,8.9,18,428
24,9.4,20,1135
25,8.4,72,1136
26,8.5,75,1137
27,8.0,68,1138
28,8.0,15,719
29,7.9,13,1139
30,8.5,17,1140
31,8.5,24,1141
32,9.0,68,571
33,7.8,7,428
34,8.1,68,1142
35,7.95,68,914
36,8.7,49,428
37,8.0,68,832
38,9.3,68,832
39,7.8,17,504
40,9.3,1,679
41,9.0,24,571
42,9.0,30,571
43,9.0,41,1143
44,9.0,1,571
45,9.0,75,571
46,8.3,18,857
47,9.0,27,413
48,8.56,24,857
49,8.5,20,861
50,9.3,68,755
51,8.6,27,496
52,9.8,75,1144
53,8.5,75,1145
54,8.0,68,755
55,9.2,18,1146
56,7.4,1,753
57,8.5,68,68
58,8.5,10,1147
59,9.3,24,445
60,8.5,68,504
61,9.55,68,699
62,8.3,1,399
63,8.0,17,804
64,8.5,75,1148
65,8.0,68,1149
66,7.8,15,218
67,8.5,62,541
68,8.7,68,767
69,9.5,24,757
70,8.5,68,841
71,8.5,78,767
72,9.4,17,767
73,9.0,58,1014
74,8.5,77,840
75,8.7,52,698
76,9.2,51,487
77,8.8,57,840
78,8.8,32,669
79,8.7,68,833
80,8.5,56,1150
81,9.5,68,833
82,7.4,32,778
83,8.58,68,866
84,8.9,68,915
85,9.5,18,767
86,9.0,58,756
87,7.1,61,1151
88,8.0,68,1152
89,9.5,24,325
90,8.0,75,1153
91,9.4,14,470
92,9.3,68,1154
93,8.2,24,494
94,9.7,67,1155
95,7.7,67,494
96,10.0,20,710
97,8.5,58,698
98,9.72,68,1156
99,9.4,77,753
100,7.4,67,474
101,8.5,10,773
102,8.1,14,565
103,8.0,75,773
104,8.5,1,767
105,8.5,52,767
106,7.3,10,767
107,8.7,32,1157
108,7.9,57,754
109,8.5,52,754
110,10.0,52,188
111,8.14,41,1158
112,8.5,68,698
113,8.1,68,1156
114,9.6,68,565
115,8.5,15,766
116,8.0,68,380
117,8.0,27,457
118,8.4,68,719
119,8.5,62,457
120,8.4,7,457
121,8.5,50,766
122,9.1,68,25
123,9.8,33,1159
124,9.8,27,683
125,8.4,10,844
126,8.6,68,412
127,9.0,7,188
128,7.1,43,512
129,7.3,22,766
130,9.3,41,913
131,9.0,24,504
132,9.4,33,504
133,9.1,68,504
134,9.8,78,767
135,9.8,10,393
136,8.5,10,719
137,8.5,20,773
138,9.0,68,190
139,9.0,75,723
140,8.6,68,719
141,10.0,20,399
142,9.5,68,565
143,8.2,68,767
144,7.5,9,767
145,8.5,56,1160
146,8.0,10,553
147,8.2,18,1161
148,7.8,10,476
149,8.0,27,571
150,8.0,24,571
151,9.3,1,525
152,8.0,33,571
153,8.9,27,398
154,9.3,33,504
155,9.9,24,730
156,9.8,68,709
157,8.0,52,1124
158,9.9,7,719
159,8.0,75,915
160,7.5,1,909
161,8.1,68,470
162,8.0,41,1149
163,8.9,68,409
164,9.2,57,409
165,8.9,68,409
166,8.0,12,385
167,8.8,10,1140
168,8.7,68,409
169,8.3,10,1132
170,7.5,10,385
171,8.3,1,1131
172,8.5,17,1132
173,8.42,7,565
174,8.8,68,470
175,9.6,68,470
176,8.4,33,470
177,8.5,15,525
178,8.5,15,470
179,8.5,52,152
180,8.0,75,470
181,8.5,24,730
182,8.5,68,795
183,8.5,18,1162
184,8.0,24,477
185,9.0,68,833
